,date,pair,rolling_correlation
0,2017-01-03,rolling_corr_BTC_SPY_30,
1,2017-01-04,rolling_corr_BTC_SPY_30,
2,2017-01-05,rolling_corr_BTC_SPY_30,
3,2017-01-06,rolling_corr_BTC_SPY_30,
4,2017-01-09,rolling_corr_BTC_SPY_30,
5,2017-01-10,rolling_corr_BTC_SPY_30,
6,2017-01-11,rolling_corr_BTC_SPY_30,
7,2017-01-12,rolling_corr_BTC_SPY_30,
8,2017-01-13,rolling_corr_BTC_SPY_30,
9,2017-01-17,rolling_corr_BTC_SPY_30,
10,2017-01-18,rolling_corr_BTC_SPY_30,
11,2017-01-19,rolling_corr_BTC_SPY_30,
12,2017-01-20,rolling_corr_BTC_SPY_30,
13,2017-01-23,rolling_corr_BTC_SPY_30,
14,2017-01-24,rolling_corr_BTC_SPY_30,
15,2017-01-25,rolling_corr_BTC_SPY_30,
16,2017-01-26,rolling_corr_BTC_SPY_30,
17,2017-01-27,rolling_corr_BTC_SPY_30,
18,2017-01-30,rolling_corr_BTC_SPY_30,
19,2017-01-31,rolling_corr_BTC_SPY_30,
20,2017-02-01,rolling_corr_BTC_SPY_30,
21,2017-02-02,rolling_corr_BTC_SPY_30,
22,2017-02-03,rolling_corr_BTC_SPY_30,
23,2017-02-06,rolling_corr_BTC_SPY_30,
24,2017-02-07,rolling_corr_BTC_SPY_30,
25,2017-02-08,rolling_corr_BTC_SPY_30,
26,2017-02-09,rolling_corr_BTC_SPY_30,
27,2017-02-10,rolling_corr_BTC_SPY_30,
28,2017-02-13,rolling_corr_BTC_SPY_30,
29,2017-02-14,rolling_corr_BTC_SPY_30,-0.05707539319345706
30,2017-02-15,rolling_corr_BTC_SPY_30,0.01510099867990981
31,2017-02-16,rolling_corr_BTC_SPY_30,-0.006847656116258618
32,2017-02-17,rolling_corr_BTC_SPY_30,0.02983853997936862
33,2017-02-21,rolling_corr_BTC_SPY_30,0.1216402222375331
34,2017-02-22,rolling_corr_BTC_SPY_30,0.10405603302359548
35,2017-02-23,rolling_corr_BTC_SPY_30,0.0977907213562542
36,2017-02-24,rolling_corr_BTC_SPY_30,0.09250853005173452
37,2017-02-27,rolling_corr_BTC_SPY_30,-0.07195589455476438
38,2017-02-28,rolling_corr_BTC_SPY_30,-0.08204520912314128
39,2017-03-01,rolling_corr_BTC_SPY_30,-0.11746961810261902
40,2017-03-02,rolling_corr_BTC_SPY_30,-0.19389642240841337
41,2017-03-03,rolling_corr_BTC_SPY_30,-0.26318112857935255
42,2017-03-06,rolling_corr_BTC_SPY_30,-0.2637229550867865
43,2017-03-07,rolling_corr_BTC_SPY_30,-0.26586240848820003
44,2017-03-08,rolling_corr_BTC_SPY_30,-0.17558014929234575
45,2017-03-09,rolling_corr_BTC_SPY_30,-0.07870177394813001
46,2017-03-10,rolling_corr_BTC_SPY_30,-0.05702611395246035
47,2017-03-13,rolling_corr_BTC_SPY_30,-0.051028765302524225
48,2017-03-14,rolling_corr_BTC_SPY_30,-0.09713472536298175
49,2017-03-15,rolling_corr_BTC_SPY_30,-0.1074023962411922
50,2017-03-16,rolling_corr_BTC_SPY_30,-0.09606115158865751
51,2017-03-17,rolling_corr_BTC_SPY_30,-0.017300364921474243
52,2017-03-20,rolling_corr_BTC_SPY_30,-0.0755229259519213
53,2017-03-21,rolling_corr_BTC_SPY_30,-0.11816639213216262
54,2017-03-22,rolling_corr_BTC_SPY_30,-0.08774913529218004
55,2017-03-23,rolling_corr_BTC_SPY_30,-0.053020814900614985
56,2017-03-24,rolling_corr_BTC_SPY_30,-0.04128944542431917
57,2017-03-27,rolling_corr_BTC_SPY_30,0.00669799451670064
58,2017-03-28,rolling_corr_BTC_SPY_30,0.1250297169177113
59,2017-03-29,rolling_corr_BTC_SPY_30,0.13367390126479034
60,2017-03-30,rolling_corr_BTC_SPY_30,0.12713481577223198
61,2017-03-31,rolling_corr_BTC_SPY_30,0.13143632840234235
62,2017-04-03,rolling_corr_BTC_SPY_30,0.13453054038628157
63,2017-04-04,rolling_corr_BTC_SPY_30,0.11655232392262137
64,2017-04-05,rolling_corr_BTC_SPY_30,0.12833454388678636
65,2017-04-06,rolling_corr_BTC_SPY_30,0.11836120329304238
66,2017-04-07,rolling_corr_BTC_SPY_30,0.10007924008879461
67,2017-04-10,rolling_corr_BTC_SPY_30,0.09710472058210042
68,2017-04-11,rolling_corr_BTC_SPY_30,0.1011315271206045
69,2017-04-12,rolling_corr_BTC_SPY_30,0.16254212860047404
70,2017-04-13,rolling_corr_BTC_SPY_30,0.21027195609268753
71,2017-04-17,rolling_corr_BTC_SPY_30,0.15337955738145295
72,2017-04-18,rolling_corr_BTC_SPY_30,0.1522523068717558
73,2017-04-19,rolling_corr_BTC_SPY_30,0.14608523710025448
74,2017-04-20,rolling_corr_BTC_SPY_30,0.11341113891661697
75,2017-04-21,rolling_corr_BTC_SPY_30,0.13599010480020118
76,2017-04-24,rolling_corr_BTC_SPY_30,0.09833389369288563
77,2017-04-25,rolling_corr_BTC_SPY_30,0.09436386844756921
78,2017-04-26,rolling_corr_BTC_SPY_30,0.09764723214760507
79,2017-04-27,rolling_corr_BTC_SPY_30,0.11707155087235938
80,2017-04-28,rolling_corr_BTC_SPY_30,0.10364056781824756
81,2017-05-01,rolling_corr_BTC_SPY_30,0.07851662614978921
82,2017-05-02,rolling_corr_BTC_SPY_30,0.09352558088486763
83,2017-05-03,rolling_corr_BTC_SPY_30,0.11035777808196179
84,2017-05-04,rolling_corr_BTC_SPY_30,0.08979120511341063
85,2017-05-05,rolling_corr_BTC_SPY_30,0.0625029829966629
86,2017-05-08,rolling_corr_BTC_SPY_30,0.05619612781251447
87,2017-05-09,rolling_corr_BTC_SPY_30,0.01654412690728698
88,2017-05-10,rolling_corr_BTC_SPY_30,-0.15388236252364015
89,2017-05-11,rolling_corr_BTC_SPY_30,-0.16599114469982054
90,2017-05-12,rolling_corr_BTC_SPY_30,-0.15226094999382567
91,2017-05-15,rolling_corr_BTC_SPY_30,-0.20781866607524474
92,2017-05-16,rolling_corr_BTC_SPY_30,-0.16827536426964826
93,2017-05-17,rolling_corr_BTC_SPY_30,-0.030865013830168875
94,2017-05-18,rolling_corr_BTC_SPY_30,-0.008862824249371192
95,2017-05-19,rolling_corr_BTC_SPY_30,0.07280094931442008
96,2017-05-22,rolling_corr_BTC_SPY_30,0.06607617792860786
97,2017-05-23,rolling_corr_BTC_SPY_30,0.0750896707538019
98,2017-05-24,rolling_corr_BTC_SPY_30,0.08398003592511956
99,2017-05-25,rolling_corr_BTC_SPY_30,0.10696438355359501
100,2017-05-26,rolling_corr_BTC_SPY_30,0.07490057656385277
101,2017-05-30,rolling_corr_BTC_SPY_30,0.121805970105598
102,2017-05-31,rolling_corr_BTC_SPY_30,0.12323842413886806
103,2017-06-01,rolling_corr_BTC_SPY_30,0.15031302752493808
104,2017-06-02,rolling_corr_BTC_SPY_30,0.19953811665565566
105,2017-06-05,rolling_corr_BTC_SPY_30,0.21338863153789167
106,2017-06-06,rolling_corr_BTC_SPY_30,0.2176024324627021
107,2017-06-07,rolling_corr_BTC_SPY_30,0.24636726906804338
108,2017-06-08,rolling_corr_BTC_SPY_30,0.22022602732625174
109,2017-06-09,rolling_corr_BTC_SPY_30,0.20891761137707385
110,2017-06-12,rolling_corr_BTC_SPY_30,0.21684162879722593
111,2017-06-13,rolling_corr_BTC_SPY_30,0.10173903603449214
112,2017-06-14,rolling_corr_BTC_SPY_30,0.10467082185615166
113,2017-06-15,rolling_corr_BTC_SPY_30,0.14886401754650747
114,2017-06-16,rolling_corr_BTC_SPY_30,0.1491282330958174
115,2017-06-19,rolling_corr_BTC_SPY_30,0.07330509072421114
116,2017-06-20,rolling_corr_BTC_SPY_30,0.047501910328607844
117,2017-06-21,rolling_corr_BTC_SPY_30,0.05327092683111143
118,2017-06-22,rolling_corr_BTC_SPY_30,0.05420741150767322
119,2017-06-23,rolling_corr_BTC_SPY_30,0.0631156314288131
120,2017-06-26,rolling_corr_BTC_SPY_30,0.07111083195927026
121,2017-06-27,rolling_corr_BTC_SPY_30,0.11779041912128135
122,2017-06-28,rolling_corr_BTC_SPY_30,0.15894071213396535
123,2017-06-29,rolling_corr_BTC_SPY_30,0.1703212876117621
124,2017-06-30,rolling_corr_BTC_SPY_30,0.15101921049171693
125,2017-07-03,rolling_corr_BTC_SPY_30,0.11826683590860472
126,2017-07-05,rolling_corr_BTC_SPY_30,0.12795221260085607
127,2017-07-06,rolling_corr_BTC_SPY_30,0.11807221664874681
128,2017-07-07,rolling_corr_BTC_SPY_30,0.08898453922518185
129,2017-07-10,rolling_corr_BTC_SPY_30,0.04178600195824143
130,2017-07-11,rolling_corr_BTC_SPY_30,0.04874914087191517
131,2017-07-12,rolling_corr_BTC_SPY_30,0.0490404162018494
132,2017-07-13,rolling_corr_BTC_SPY_30,0.05043967662789925
133,2017-07-14,rolling_corr_BTC_SPY_30,-0.01419167834218853
134,2017-07-17,rolling_corr_BTC_SPY_30,-0.038087110507385
135,2017-07-18,rolling_corr_BTC_SPY_30,-0.02879189206149287
136,2017-07-19,rolling_corr_BTC_SPY_30,0.028237157119861394
137,2017-07-20,rolling_corr_BTC_SPY_30,0.017762755656061877
138,2017-07-21,rolling_corr_BTC_SPY_30,-0.031170849895421595
139,2017-07-24,rolling_corr_BTC_SPY_30,-0.019127212459923645
140,2017-07-25,rolling_corr_BTC_SPY_30,-0.01866286528082809
141,2017-07-26,rolling_corr_BTC_SPY_30,0.03582915041184122
142,2017-07-27,rolling_corr_BTC_SPY_30,0.04088104935802146
143,2017-07-28,rolling_corr_BTC_SPY_30,0.002877571892684663
144,2017-07-31,rolling_corr_BTC_SPY_30,0.0005093877880176931
145,2017-08-01,rolling_corr_BTC_SPY_30,0.062142640048943265
146,2017-08-02,rolling_corr_BTC_SPY_30,0.08091939972601762
147,2017-08-03,rolling_corr_BTC_SPY_30,0.09261148816730927
148,2017-08-04,rolling_corr_BTC_SPY_30,0.09065537021215557
149,2017-08-07,rolling_corr_BTC_SPY_30,0.08576767435842522
150,2017-08-08,rolling_corr_BTC_SPY_30,0.07049918607511602
151,2017-08-09,rolling_corr_BTC_SPY_30,0.02001643828672903
152,2017-08-10,rolling_corr_BTC_SPY_30,0.03305840417187489
153,2017-08-11,rolling_corr_BTC_SPY_30,0.01833482475538206
154,2017-08-14,rolling_corr_BTC_SPY_30,0.06152954187529892
155,2017-08-15,rolling_corr_BTC_SPY_30,0.05430834077494087
156,2017-08-16,rolling_corr_BTC_SPY_30,0.04645725532548011
157,2017-08-17,rolling_corr_BTC_SPY_30,-0.035402864471629256
158,2017-08-18,rolling_corr_BTC_SPY_30,-0.01705862383151233
159,2017-08-21,rolling_corr_BTC_SPY_30,-0.015376931386148898
160,2017-08-22,rolling_corr_BTC_SPY_30,-0.05986963613646409
161,2017-08-23,rolling_corr_BTC_SPY_30,-0.043991539533137426
162,2017-08-24,rolling_corr_BTC_SPY_30,-0.04362977353942259
163,2017-08-25,rolling_corr_BTC_SPY_30,-0.01744626215507
164,2017-08-28,rolling_corr_BTC_SPY_30,-0.017934206695807614
165,2017-08-29,rolling_corr_BTC_SPY_30,-0.03154858495751731
166,2017-08-30,rolling_corr_BTC_SPY_30,-0.027127913225174653
167,2017-08-31,rolling_corr_BTC_SPY_30,-0.03738475103594951
168,2017-09-01,rolling_corr_BTC_SPY_30,-0.008458398189255457
169,2017-09-05,rolling_corr_BTC_SPY_30,0.09323525264405813
170,2017-09-06,rolling_corr_BTC_SPY_30,0.10641239698878575
171,2017-09-07,rolling_corr_BTC_SPY_30,0.11561752428550384
172,2017-09-08,rolling_corr_BTC_SPY_30,0.11442500588748757
173,2017-09-11,rolling_corr_BTC_SPY_30,0.059379202554050964
174,2017-09-12,rolling_corr_BTC_SPY_30,0.053211377582428075
175,2017-09-13,rolling_corr_BTC_SPY_30,0.043059088302856506
176,2017-09-14,rolling_corr_BTC_SPY_30,0.051381584722662445
177,2017-09-15,rolling_corr_BTC_SPY_30,0.013757912795405704
178,2017-09-18,rolling_corr_BTC_SPY_30,0.007093930263368362
179,2017-09-19,rolling_corr_BTC_SPY_30,0.016236674536284912
180,2017-09-20,rolling_corr_BTC_SPY_30,0.033882464890524024
181,2017-09-21,rolling_corr_BTC_SPY_30,0.036083405140560014
182,2017-09-22,rolling_corr_BTC_SPY_30,0.00377170145248537
183,2017-09-25,rolling_corr_BTC_SPY_30,0.013286484183191056
184,2017-09-26,rolling_corr_BTC_SPY_30,-0.05343860621814936
185,2017-09-27,rolling_corr_BTC_SPY_30,-0.050498002968414675
186,2017-09-28,rolling_corr_BTC_SPY_30,-0.03781933135951711
187,2017-09-29,rolling_corr_BTC_SPY_30,0.10798899260737674
188,2017-10-02,rolling_corr_BTC_SPY_30,0.10327555193086545
189,2017-10-03,rolling_corr_BTC_SPY_30,0.10250617765786257
190,2017-10-04,rolling_corr_BTC_SPY_30,0.1482253109461547
191,2017-10-05,rolling_corr_BTC_SPY_30,0.15451040446754333
192,2017-10-06,rolling_corr_BTC_SPY_30,0.15040624715426448
193,2017-10-09,rolling_corr_BTC_SPY_30,0.11476996496704682
194,2017-10-10,rolling_corr_BTC_SPY_30,0.12307506316213714
195,2017-10-11,rolling_corr_BTC_SPY_30,0.12390212489740679
196,2017-10-12,rolling_corr_BTC_SPY_30,0.08483929006131019
197,2017-10-13,rolling_corr_BTC_SPY_30,0.08154566636960944
198,2017-10-16,rolling_corr_BTC_SPY_30,0.07937808598341112
199,2017-10-17,rolling_corr_BTC_SPY_30,-0.050897451749806005
200,2017-10-18,rolling_corr_BTC_SPY_30,-0.0605937759925534
201,2017-10-19,rolling_corr_BTC_SPY_30,-0.044365096803575074
202,2017-10-20,rolling_corr_BTC_SPY_30,-0.025150282107313782
203,2017-10-23,rolling_corr_BTC_SPY_30,0.0343320410538832
204,2017-10-24,rolling_corr_BTC_SPY_30,0.035003322843804564
205,2017-10-25,rolling_corr_BTC_SPY_30,0.11591500070515047
206,2017-10-26,rolling_corr_BTC_SPY_30,0.10052146846260879
207,2017-10-27,rolling_corr_BTC_SPY_30,0.16317714882031722
208,2017-10-30,rolling_corr_BTC_SPY_30,0.08338959800427476
