,asset,date,moon_phase,yearly_compounded_return
0,BTC,2017-12-31,Full Moon,4.059013753400747
1,BTC,2018-12-31,Full Moon,-0.5968652956226288
2,BTC,2019-12-31,Full Moon,0.42837712894240676
3,BTC,2020-12-31,Full Moon,2.738291953646188
4,BTC,2021-12-31,Full Moon,-0.5132168552399757
5,BTC,2022-12-31,Full Moon,-0.4113205368342422
6,BTC,2023-12-31,Full Moon,0.3610454608383733
7,BTC,2024-12-31,Full Moon,0.6163909714010636
8,BTC,2025-12-31,Full Moon,0.049153027100768965
9,BTC,2017-12-31,New Moon,3.871170324061767
10,BTC,2018-12-31,New Moon,-0.4733506061150612
11,BTC,2019-12-31,New Moon,0.2381322329169695
12,BTC,2020-12-31,New Moon,0.0051353209389422005
13,BTC,2021-12-31,New Moon,2.5548517920026637
14,BTC,2022-12-31,New Moon,-0.39008411661859255
15,BTC,2023-12-31,New Moon,0.8574341946268689
16,BTC,2024-12-31,New Moon,0.34813119227321576
17,BTC,2025-12-31,New Moon,0.12597055109013744
18,GLD,2017-12-31,Full Moon,-0.9990229650736175
19,GLD,2018-12-31,Full Moon,-0.0022376621337254488
20,GLD,2019-12-31,Full Moon,0.06796210688983462
21,GLD,2020-12-31,Full Moon,0.07528672781566659
22,GLD,2021-12-31,Full Moon,0.015572581893863235
23,GLD,2022-12-31,Full Moon,0.01882564900452466
24,GLD,2023-12-31,Full Moon,0.16936096119798005
25,GLD,2024-12-31,Full Moon,0.06036264318504969
26,GLD,2025-12-31,Full Moon,0.11928616611386933
27,GLD,2017-12-31,New Moon,0.11957282666648572
28,GLD,2018-12-31,New Moon,-0.006211884837884374
29,GLD,2019-12-31,New Moon,0.12297285183911622
30,GLD,2020-12-31,New Moon,0.14768631929658338
31,GLD,2021-12-31,New Moon,-0.06363965525894932
32,GLD,2022-12-31,New Moon,-0.02041628277286922
33,GLD,2023-12-31,New Moon,-0.016833792569372896
34,GLD,2024-12-31,New Moon,0.18366261691764252
35,GLD,2025-12-31,New Moon,0.13056722145961386
36,QQQ,2017-12-31,Full Moon,-0.5833826758395255
37,QQQ,2018-12-31,Full Moon,-0.25561712264142367
38,QQQ,2019-12-31,Full Moon,0.16643914393269688
39,QQQ,2020-12-31,Full Moon,0.3426314337127787
40,QQQ,2021-12-31,Full Moon,0.07777321254895986
